Order_ID,Supplier,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Product_Category,Transportation_Mode,Supplier_Location,Disruption_Type,Customer_Demand,Order_Quantity
ORD1084,Alpha Supplies,4/24/2024,5/4/2024,5/6/2024,Electronics,Air,China,Customs,123,147
ORD1085,BetaTech,2/5/2024,2/17/2024,2/24/2024,Mechanical,Land,Germany,Customs,115,131
ORD1086,GammaCorp,7/23/2024,8/6/2024,8/10/2024,Raw Materials,Sea,Korea,Customs,129,176
ORD1087,Alpha Supplies,2/29/2024,3/12/2024,3/18/2024,Mechanical,Land,China,Weather,111,127
ORD1088,BetaTech,1/20/2024,1/30/2024,2/5/2024,Mechanical,Air,Germany,Customs,101,122
ORD1089,BetaTech,8/11/2024,8/25/2024,8/30/2024,Raw Materials,Sea,Germany,Weather,124,124
ORD1090,GammaCorp,4/7/2024,4/17/2024,4/23/2024,Raw Materials,Air,Korea,Production,118,165
ORD1091,GammaCorp,10/2/2024,10/16/2024,10/17/2024,Raw Materials,Sea,Korea,None,112,130
ORD1092,Alpha Supplies,7/5/2024,7/19/2024,7/20/2024,Raw Materials,Sea,China,None,121,126
ORD1093,GammaCorp,6/9/2024,6/23/2024,6/24/2024,Electronics,Sea,Korea,None,133,143
ORD1094,BetaTech,9/16/2024,9/26/2024,10/1/2024,Mechanical,Air,Germany,Customs,110,142
ORD1095,GammaCorp,5/31/2024,6/14/2024,6/20/2024,Electronics,Sea,Korea,Production,114,143
ORD1096,BetaTech,12/12/2024,12/26/2024,12/29/2024,Electronics,Sea,Germany,None,129,146
ORD1097,BetaTech,7/26/2024,8/9/2024,8/15/2024,Electronics,Sea,Germany,Customs,125,128
ORD1098,Alpha Supplies,8/8/2024,8/22/2024,8/23/2024,Raw Materials,Sea,China,None,118,142
ORD1099,BetaTech,8/14/2024,8/28/2024,9/1/2024,Electronics,Sea,Germany,None,116,145
